nama_perusahaan,komoditas,satuan,tahun,nilai
"Newmont Nusa Tenggara, PT","Copper","ton",2009,
"Newmont Nusa Tenggara, PT","Gold","kg",2009,
"Newmont Nusa Tenggara, PT","Silver","kg",2009,
"Nusa Halmahera Minerals, PT","Gold","kg",2009,
"Nusa Halmahera Minerals, PT","Silver","kg",2009,
"Avocet Bolaang Mongondouw, PT","Gold","kg",2009,
"Avocet Bolaang Mongondouw, PT","Silver","kg",2009,
"Galuh Cempaka, PT","Diamond","crt",2009,
"Galuh Cempaka, PT","Gold","kg",2009,
"Aneka Tambang Tbk, PT","Ferro nickel","mt",2010,
"Aneka Tambang Tbk, PT","Ni In Fe Ni","ton",2010,
"Aneka Tambang Tbk, PT","Gold","kg",2010,
"Aneka Tambang Tbk, PT","Silver","kg",2010,
"Aneka Tambang Tbk, PT","Bauxite","mt",2010,
"Aneka Tambang Tbk, PT","Iron sand","wmt",2010,
"Timah Tbk, PT","Tin metal","ton",2010,
"Freeport Indonesia, PT","Copper","ton",2010,55254
"Freeport Indonesia, PT","Gold","kg",2010,5828
"Freeport Indonesia, PT","Silver","kg",2010,17012
"Koba Tin, PT","Tin metal","ton",2010,
"International Nickel Ind, PT","Nickel","ton",2010,
"Gunung Kikara Mining, PT","Tin metal","ton",2010,
"Karimun Granite, PT","Granite","ton",2010,
"Lusang Mining, PT","Gold","kg",2010,
"Lusang Mining, PT","Silver","kg",2010,
"Ampalit Mas Perdana, PT","Gold","kg",2010,
"Ampalit Mas Perdana, PT","Silver","kg",2010,
"Monterado Mas Mining, PT","Gold","kg",2010,
"Monterado Mas Mining, PT","Silver","kg",2010,
"Prima Lirang Mining, PT","Gold","kg",2010,
"Prima Lirang Mining, PT","Silver","kg",2010,
"Kelian Equatorial Mining, PT","Gold","kg",2010,
"Kelian Equatorial Mining, PT","Silver","kg",2010,
"Indo Muro Kencana, PT","Gold","kg",2010,
"Indo Muro Kencana, PT","Silver","kg",2010,
"Newmont Minahasa Raya, PT","Gold","kg",2010,
"Newmont Minahasa Raya, PT","Silver","kg",2010,
"Barisan Tropical Mining, PT","Gold","kg",2010,
"Barisan Tropical Mining, PT","Silver","kg",2010,
"Newmont Nusa Tenggara, PT","Copper conct.","dmt",2010,
"Newmont Nusa Tenggara, PT","Copper","ton",2010,
"Newmont Nusa Tenggara, PT","Gold","kg",2010,
"Newmont Nusa Tenggara, PT","Silver","kg",2010,
"Nusa Halmahera Minerals, PT","Gold","kg",2010,
"Nusa Halmahera Minerals, PT","Silver","kg",2010,
"Avocet Bolaang Mongondouw, PT","Gold","kg",2010,
"Avocet Bolaang Mongondouw, PT","Silver","kg",2010,
"Galuh Cempaka, PT","Diamond","crt",2010,
"Galuh Cempaka, PT","Gold","kg",2010,
